date,open,high,low,close,volume
2021-11-21T13:51.00Z,4352.44,4351.41,4352.72,4350.94,17.46317299
2021-11-21T13:50.00Z,4352.68,4352.44,4353.43,4352.34,45.75748076
2021-11-21T13:49.00Z,4362.46,4352.68,4362.46,4352.48,35.55292762
2021-11-21T13:48.00Z,4358.2,4362.77,4367.66,4358.2,121.33206684
2021-11-21T13:47.00Z,4347.88,4358.18,4358.47,4347.88,31.93024636
2021-11-21T13:46.00Z,4348.23,4347.88,4348.23,4346.51,13.83765908
2021-11-21T13:45.00Z,4350.97,4348.23,4350.98,4347.39,21.77671578
2021-11-21T13:44.00Z,4346.75,4350.97,4351,4345.02,39.51412474
2021-11-21T13:43.00Z,4350.97,4346.75,4350.97,4346.74,27.24575878
2021-11-21T13:42.00Z,4352.12,4351,4352.47,4350.99,11.6226336
2021-11-21T13:41.00Z,4351.9,4352.13,4352.13,4350.95,14.81473765
2021-11-21T13:40.00Z,4351.04,4351.89,4351.9,4350.11,27.5700224
2021-11-21T13:39.00Z,4353.34,4351.04,4353.35,4350.51,17.34359286
2021-11-21T13:38.00Z,4352.1,4353.35,4353.35,4350.43,38.96290356
2021-11-21T13:37.00Z,4356.14,4352.1,4356.16,4352.09,19.23951747
2021-11-21T13:36.00Z,4354.52,4356.14,4356.66,4354.51,31.92003795
2021-11-21T13:35.00Z,4355.02,4354.52,4355.99,4354.52,36.13468386
2021-11-21T13:34.00Z,4354.44,4355.03,4356.22,4354.42,27.06435308
2021-11-21T13:33.00Z,4356.64,4354.43,4356.65,4354.43,21.67575354
2021-11-21T13:32.00Z,4355,4356.65,4356.65,4355,38.56964592
2021-11-21T13:31.00Z,4354.19,4355.28,4355.46,4351.6,94.86550115
2021-11-21T13:30.00Z,4350.79,4354.2,4354.7,4349.9,26.68745098
2021-11-21T13:29.00Z,4346.95,4350.79,4351.52,4346.95,8.4122602
2021-11-21T13:28.00Z,4348.85,4346.95,4349.99,4346.94,32.68371993
2021-11-21T13:27.00Z,4347.88,4348.84,4348.93,4345.77,16.58920701
2021-11-21T13:26.00Z,4347.41,4347.87,4350,4347.41,16.6983075
2021-11-21T13:25.00Z,4343.38,4347.4,4348.77,4342.69,29.57093344
2021-11-21T13:24.00Z,4341.15,4343.38,4343.38,4340.47,30.72516074
2021-11-21T13:23.00Z,4343.13,4341.16,4343.29,4341.14,11.98850514
2021-11-21T13:22.00Z,4342.12,4343.13,4344.09,4341.54,37.50238737
2021-11-21T13:21.00Z,4342.59,4342.12,4343.86,4341.17,27.86964457
2021-11-21T13:20.00Z,4344.23,4342.19,4345.02,4342.19,32.69137135
2021-11-21T13:19.00Z,4344.05,4344.22,4345.1,4344.05,12.80078245
2021-11-21T13:18.00Z,4343.26,4343.13,4343.83,4342.33,25.27123433
2021-11-21T13:17.00Z,4346.07,4343.33,4349.04,4342.65,16.77511189
2021-11-21T13:16.00Z,4350.12,4346.07,4350.13,4344.28,21.29947641
2021-11-21T13:15.00Z,4349.95,4349.83,4354.18,4349.82,16.38890605
2021-11-21T13:14.00Z,4354.49,4349.95,4354.71,4348.45,16.98543266
2021-11-21T13:13.00Z,4352.74,4354.5,4354.5,4352.74,20.33395723
2021-11-21T13:12.00Z,4350.65,4352.35,4354.05,4350.65,13.16693897
2021-11-21T13:11.00Z,4348.99,4350.65,4350.81,4348.26,29.26193052
2021-11-21T13:10.00Z,4343.17,4348.98,4348.99,4342.52,138.76900344
2021-11-21T13:09.00Z,4346.28,4343.17,4347.74,4343.14,41.13287899
2021-11-21T13:08.00Z,4351.78,4346.27,4351.78,4346.27,85.01164501
2021-11-21T13:07.00Z,4350.99,4351.77,4351.78,4350.17,28.04545447
2021-11-21T13:06.00Z,4357.06,4351,4358.22,4351,61.50718736
2021-11-21T13:05.00Z,4362.67,4357.06,4362.93,4357.06,35.11532437
2021-11-21T13:04.00Z,4364.47,4362.67,4365.14,4362.66,20.23132569
